Tarih,Sembol,Fiyat,Hacim,Değişim (%)
2026-02-23 01:10:00,BTC-USD,65544.45,221243392,-0.31
2026-02-23 01:15:00,BTC-USD,65308.51,508286976,-0.36
2026-02-23 01:20:00,BTC-USD,65083.54,1352476672,-0.34
2026-02-23 01:25:00,BTC-USD,65156.2,572917760,0.11
2026-02-23 01:30:00,BTC-USD,65080.84,1150470144,-0.12
2026-02-23 01:35:00,BTC-USD,65359.7,119644160,0.43
2026-02-23 01:40:00,BTC-USD,65140.02,511123456,-0.34
2026-02-23 01:45:00,BTC-USD,64756.01,814514176,-0.59
2026-02-23 01:50:00,BTC-USD,64563.13,1136801792,-0.3
2026-02-23 01:55:00,BTC-USD,64614.25,782108672,0.08
2026-02-23 02:00:00,BTC-USD,64548.93,618737664,-0.1
2026-02-23 02:05:00,BTC-USD,64593.88,227596288,0.07
2026-02-23 02:10:00,BTC-USD,64721.64,418775040,0.2
2026-02-23 02:15:00,BTC-USD,64693.07,216780800,-0.04
2026-02-23 02:20:00,BTC-USD,64574.15,242853888,-0.18
2026-02-23 02:25:00,BTC-USD,64618.16,173449216,0.07
2026-02-23 02:30:00,BTC-USD,64876.55,286431232,0.4
2026-02-23 02:35:00,BTC-USD,64782.36,152758272,-0.15
2026-02-23 02:40:00,BTC-USD,64739.98,144089088,-0.07
2026-02-23 02:45:00,BTC-USD,64808.5,23040000,0.11
2026-02-23 02:50:00,BTC-USD,64759.8,824424448,-0.08
2026-02-23 02:55:00,BTC-USD,64727.59,138606592,-0.05
2026-02-23 03:00:00,BTC-USD,64784.43,62855168,0.09
2026-02-23 03:05:00,BTC-USD,64983.76,208142336,0.31
2026-02-23 03:10:00,BTC-USD,64872.29,125315072,-0.17
2026-02-23 03:15:00,BTC-USD,64738.29,453814272,-0.21
2026-02-23 03:20:00,BTC-USD,64746.45,146055168,0.01
2026-02-23 03:25:00,BTC-USD,64751.41,220614656,0.01
2026-02-23 03:30:00,BTC-USD,64723.7,281774080,-0.04
2026-02-23 03:35:00,BTC-USD,64882.0,211582976,0.24
2026-02-23 03:40:00,BTC-USD,64957.3,154787840,0.12
2026-02-23 03:45:00,BTC-USD,64947.29,289351680,-0.02
2026-02-23 03:50:00,BTC-USD,64943.11,378880,-0.01
2026-02-23 03:55:00,BTC-USD,64946.36,357376000,0.01
2026-02-23 04:00:00,BTC-USD,64890.33,164454400,-0.09
2026-02-23 04:05:00,BTC-USD,64891.62,24297472,0.0
2026-02-23 04:10:00,BTC-USD,64955.29,235223040,0.1
2026-02-23 04:15:00,BTC-USD,64904.44,6111232,-0.08
2026-02-23 04:20:00,BTC-USD,64798.29,361730048,-0.16
2026-02-23 04:25:00,BTC-USD,64759.41,98529280,-0.06
2026-02-23 04:30:00,BTC-USD,64761.91,620265472,0.0
2026-02-23 04:35:00,BTC-USD,64706.98,315162624,-0.08
2026-02-23 04:40:00,BTC-USD,64692.66,50561024,-0.02
2026-02-23 04:45:00,BTC-USD,64710.0,349155328,0.03
2026-02-23 04:50:00,BTC-USD,64750.1,193540096,0.06
2026-02-23 04:55:00,BTC-USD,64811.04,75517952,0.09
2026-02-23 05:00:00,BTC-USD,64839.53,191449088,0.04
2026-02-23 05:05:00,BTC-USD,64922.89,167249920,0.13
2026-02-23 05:10:00,BTC-USD,65092.28,181784576,0.26
2026-02-23 05:15:00,BTC-USD,65172.89,533444608,0.12
2026-02-23 05:20:00,BTC-USD,65093.67,182192128,-0.12
